record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
15605,2,5,1989,14,RM,M,17.0,9.0
8501,10,16,1983,1,DM,F,37.0,36.0
20874,5,23,1993,9,DM,F,37.0,45.0
18873,7,13,1991,13,OT,M,16.0,24.0
33945,5,15,2002,1,DM,F,36.0,35.0
23107,12,3,1995,14,DM,M,35.0,49.0
31076,7,2,2000,14,DM,F,34.0,29.0
18036,11,11,1990,4,DM,M,37.0,43.0
10657,8,19,1985,22,DM,F,36.0,43.0
6483,8,16,1982,15,PM,M,20.0,21.0
21974,12,5,1994,8,DM,M,36.0,46.0
31554,11,25,2000,20,NL,F,29.0,158.0
33365,1,12,2002,17,DM,M,37.0,49.0
1158,8,5,1978,5,DS,F,48.0,88.0
20880,5,23,1993,14,DM,M,35.0,22.0
4520,6,4,1981,2,DM,M,34.0,38.0
24809,12,18,1996,24,RM,F,16.0,11.0
2930,5,17,1980,24,DM,F,35.0,41.0
24811,12,18,1996,1,DO,M,34.0,38.0
32444,8,25,2001,23,PE,M,20.0,22.0
7071,11,22,1982,1,PF,M,15.0,6.0
9787,12,31,1984,1,DM,M,36.0,51.0
1992,8,22,1979,11,DM,F,36.0,40.0
15436,1,11,1989,7,PE,F,20.0,21.0
12310,2,1,1987,7,PE,F,19.0,19.0
27934,5,29,1998,3,OT,M,19.0,28.0
27432,1,31,1998,12,DM,M,35.0,42.0
14148,2,22,1988,13,RM,M,16.0,9.0
6495,8,16,1982,5,DM,M,36.0,41.0
28240,7,18,1998,1,DO,M,37.0,42.0
14376,4,18,1988,10,PM,F,20.0,27.0
26696,7,30,1997,13,PF,M,15.0,10.0
1711,3,31,1979,9,DM,M,37.0,31.0
33753,4,16,2002,6,PB,M,25.0,34.0
8351,9,11,1983,9,PP,F,22.0,13.0
3508,11,9,1980,5,DM,M,37.0,48.0
25561,4,13,1997,16,RM,M,14.0,10.0
7824,5,14,1983,23,RM,F,15.0,14.0
10275,4,21,1985,4,DM,M,34.0,21.0
7347,2,26,1983,19,PF,M,14.0,5.0
16134,6,3,1989,1,DO,F,35.0,41.0
24041,6,13,1996,19,PP,M,22.0,14.0
18235,1,11,1991,22,DS,F,54.0,108.0
32913,10,14,2001,4,DM,M,37.0,39.0
3456,11,9,1980,2,DM,F,36.0,45.0
32832,10,13,2001,12,DM,M,36.0,49.0
13264,8,26,1987,9,DO,M,35.0,50.0
32136,5,27,2001,14,DM,F,35.0,50.0
8664,11,13,1983,3,RM,M,15.0,7.0
1737,4,28,1979,9,DS,F,44.0,51.0
24240,7,21,1996,4,PF,M,17.0,11.0
28166,7,18,1998,2,DS,F,51.0,113.0
18927,8,7,1991,23,SF,F,30.0,199.0
17704,7,22,1990,8,DM,F,36.0,44.0
17586,6,21,1990,21,SF,F,24.0,53.0
15045,11,5,1988,24,PE,F,21.0,27.0
14665,7,14,1988,24,PE,F,19.0,33.0
25943,6,9,1997,6,OT,F,21.0,25.0
25378,3,16,1997,14,PF,M,16.0,8.0
35153,11,10,2002,13,DO,M,37.0,57.0
29160,2,20,1999,1,DM,M,36.0,47.0
3834,1,31,1981,20,DS,F,48.0,158.0
19246,11,13,1991,19,PF,F,14.0,7.0
24793,12,18,1996,1,DM,M,37.0,44.0
22397,6,28,1995,14,DM,F,37.0,45.0
19659,2,6,1992,2,DO,F,36.0,52.0
34633,7,14,2002,13,PP,M,21.0,13.0
19668,2,6,1992,22,DM,F,36.0,38.0
1671,3,31,1979,12,DS,M,51.0,86.0
5554,3,29,1982,12,DM,M,36.0,45.0
10008,2,17,1985,4,DM,F,36.0,36.0
25394,3,16,1997,11,DM,M,36.0,43.0
5039,11,23,1981,5,DM,F,36.0,21.0
19729,2,7,1992,11,DM,F,37.0,37.0
1289,9,4,1978,14,DM,F,36.0,47.0
1427,11,4,1978,21,PF,F,15.0,6.0
16887,1,6,1990,12,SF,M,28.0,44.0
3804,1,12,1981,2,OL,F,20.0,34.0
22042,2,4,1995,2,DM,F,36.0,45.0
27283,11,22,1997,21,OT,M,20.0,21.0
19499,12,8,1991,3,BA,M,13.0,8.0
14742,8,9,1988,12,DO,M,37.0,52.0
3039,6,2,1980,9,DS,M,48.0,122.0
30012,11,7,1999,11,PP,F,21.0,17.0
3101,6,23,1980,4,DS,M,51.0,96.0
11132,12,7,1985,22,DM,F,37.0,38.0
23847,4,15,1996,15,PF,M,15.0,10.0
9234,5,27,1984,21,RM,F,17.0,9.0
15725,3,12,1989,7,PE,F,21.0,28.0
7823,5,14,1983,12,DM,F,38.0,46.0
17470,4,26,1990,14,DM,M,35.0,26.0
1299,9,4,1978,6,DM,M,34.0,43.0
23343,2,24,1996,21,PF,M,16.0,10.0
7064,11,22,1982,1,DO,M,36.0,56.0
21661,7,8,1994,19,PF,F,16.0,11.0
34128,5,16,2002,8,PP,M,22.0,20.0
31179,7,23,2000,3,PB,F,25.0,30.0
23681,4,14,1996,1,DO,F,36.0,51.0
24907,12,19,1996,14,DM,M,35.0,45.0
23195,12,22,1995,3,PM,M,21.0,24.0
